offer_id,canonical_id,raw_model_name,credential_label,provider_code,family,canonical_name,plan_type,currency,unit_price_in_per_1m,unit_price_out_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,plan_json,source,scraped_at
14,49,glm-5.1,evol-openclaw-proxy,evol,zhipu-glm,glm-5.1,token,CNY,6.00,24.00,,,{},zhipu-pricing,2026-06-12
10,356,gpt-5.4,evol-openclaw-proxy,evol,gpt,gpt-5.4,token,USD,2.50,15.00,,,{},openai-pricing,2026-06-12
9,355,gpt-5.5,evol-openclaw-proxy,evol,gpt,gpt-5.5,token,USD,5.00,30.00,,,{},openai-pricing,2026-06-12
11,357,gpt-5.3-codex,evol-openclaw-proxy,evol,gpt,gpt-5.3-codex,token,USD,2.50,15.00,,,{},openai-pricing,2026-06-12
19,369,gpt-image-2,evol-openclaw-proxy,evol,gpt,gpt-image-2,token,USD,0.04,0.04,,,{},openai-pricing,2026-06-12
51,363,kimi-k2.5,evol-openclaw-proxy,evol,moonshot,kimi-k2.5,token,USD,0.35,1.89,,,{},openrouter-moonshot,2026-06-12
52,166,kimi-k2.6,evol-openclaw-proxy,evol,moonshot,kimi-k2.6,token,USD,0.67,3.39,,,{},openrouter-moonshot,2026-06-12
18,69,MiniMax-M2.7,evol-openclaw-proxy,evol,minimax,minimax-m2.7,token,USD,0.30,1.20,0.06,0.375,"{input_per_1m: 0.30, output_per_1m: 1.20, cache_read_per_1m: 0.06, cache_write_per_1m: 0.375}",minimax-paygo,2026-06-12
24,,MiniMax-M3,minimax-prod-1,minimax,minimax,(unmapped),token,USD,0.30,1.20,0.06,,"{input_per_1m: 0.30, output_per_1m: 1.20, cache_read_per_1m: 0.06, permanent_50_percent_off: true}",minimax-paygo,2026-06-12
23,,MiniMax-M2.7,minimax-prod-1,minimax,minimax,(unmapped),token,USD,0.30,1.20,0.06,0.375,"{input_per_1m: 0.30, output_per_1m: 1.20}",minimax-paygo,2026-06-12
25,,MiniMax-Text-01,minimax-prod-1,minimax,minimax,(unmapped),token,USD,1.00,2.00,,,"{legacy: true, note: text-01 not on current pricing page, estimated from historical}",manual-estimate,2026-06-12
26,,abab5.5-chat,minimax-prod-1,minimax,minimax,(unmapped),token,USD,0.20,0.40,,,"{legacy: true, note: abab5.5 2023, historical}",manual-estimate,2026-06-12
27,,abab6.5s-chat,minimax-prod-1,minimax,minimax,(unmapped),token,USD,0.20,0.40,,,"{legacy: true, note: abab6.5s 2024, historical}",manual-estimate,2026-06-12
41,100,mimo-v2.5-pro,xiaomi-token-plan,xiaomi,mimo,mimo-v2.5-pro,token_plan,CNY,0.435,0.87,,,"{monthly_cny: 199, validity_days: 30, tier: Pro, input_per_1m: 0.435, output_per_1m: 0.87, note: token_plan via Xiaomi recharge credits}",openrouter-xiaomi,2026-06-12
36,1001,mimo-v2.5,xiaomi-token-plan,xiaomi,mimo,mimo-v2.5,token_plan,CNY,0.14,0.28,,,"{monthly_cny: 99, validity_days: 30, tier: Standard, input_per_1m: 0.14, output_per_1m: 0.28}",openrouter-xiaomi,2026-06-12
33,999,mimo-v2-pro,xiaomi-token-plan,xiaomi,mimo,mimo-v2-pro,token_plan,CNY,0.14,0.28,,,"{monthly_cny: 99, validity_days: 30, tier: Standard, input_per_1m: 0.14, output_per_1m: 0.28}",openrouter-xiaomi,2026-06-12
22,998,mimo-v2-omni,xiaomi-token-plan,xiaomi,mimo,mimo-v2-omni,token_plan,CNY,0.14,0.28,,,"{monthly_cny: 99, validity_days: 30, tier: Standard, input_per_1m: 0.14, output_per_1m: 0.28, modality: multimodal}",openrouter-xiaomi,2026-06-12
34,1000,mimo-v2-tts,xiaomi-token-plan,xiaomi,mimo,(unmapped),token_plan,CNY,0,,,"{tier: Standard, unit: per_1M_char, price_per_1M_char: 60, modality: tts}",manual-estimate,2026-06-12
37,1002,mimo-v2.5-asr,xiaomi-token-plan,xiaomi,mimo,(unmapped),token_plan,CNY,0,,,"{tier: Standard, unit: per_hour, price_per_hour: 0.5, modality: asr}",manual-estimate,2026-06-12
45,1004,mimo-v2.5-tts,xiaomi-token-plan,xiaomi,mimo,(unmapped),token_plan,CNY,0,,,"{tier: Standard, unit: per_1M_char, price_per_1M_char: 60, modality: tts}",manual-estimate,2026-06-12
46,1005,mimo-v2.5-tts-voiceclone,xiaomi-token-plan,xiaomi,mimo,(unmapped),token_plan,CNY,0,,,"{tier: Standard, unit: per_voice, price_per_voice: 1.5, modality: tts_voiceclone}",manual-estimate,2026-06-12
47,1006,mimo-v2.5-tts-voicedesign,xiaomi-token-plan,xiaomi,mimo,(unmapped),token_plan,CNY,0,,,"{tier: Standard, unit: per_voice, price_per_voice: 3.0, modality: tts_voicedesign}",manual-estimate,2026-06-12
55,49,glm-5.1,roocode,zhipu,zhipu-glm,glm-5.1,token,CNY,6.00,24.00,,,{},zhipu-pricing,2026-06-12
71,51,glm-4.7,roocode,zhipu,zhipu-glm,glm-4.7,token,CNY,2.00,8.00,,,{},zhipu-pricing,2026-06-12
72,50,glm-5,roocode,zhipu,zhipu-glm,glm-5,token,CNY,4.00,18.00,,,{},zhipu-pricing,2026-06-12
73,1153,glm-5-turbo,roocode,zhipu,zhipu-glm,glm-5-turbo,token,CNY,5.00,22.00,,,{},zhipu-pricing,2026-06-12
53,55,glm-4.5-air,roocode,zhipu,zhipu-glm,glm-4.5-air,token,CNY,0.80,2.00,,,{},zhipu-pricing,2026-06-12
54,1150,glm-4.6,roocode,zhipu,zhipu-glm,glm-4.6,token,CNY,2.00,8.00,,,{},zhipu-pricing,2026-06-12
21,53,glm-4.5,roocode,zhipu,zhipu-glm,glm-4.5,token,CNY,1.00,4.00,,,{},zhipu-pricing,2026-06-12
28,,glm-4-air,roocode,zhipu,zhipu-glm,(unmapped),token,CNY,0.50,0.25,,,{},zhipu-pricing,2026-06-12
29,,glm-4-flash,roocode,zhipu,zhipu-glm,(unmapped),token,CNY,0,0,,,{},zhipu-pricing,2026-06-12
30,,glm-4-plus,roocode,zhipu,zhipu-glm,(unmapped),token,CNY,5.00,2.50,,,{},zhipu-pricing,2026-06-12
59,,doubao-1-5-lite-32k-250115,hzx-normal,volcano-normal,doubao,(unmapped),token,CNY,0.30,0.60,,,{},doubao-pricing,2026-06-12
60,,doubao-1-5-pro-32k-250115,hzx-normal,volcano-normal,doubao,(unmapped),token,CNY,0.80,2.00,,,{},doubao-pricing,2026-06-12
61,,doubao-embedding-vision,hzx-normal,volcano-normal,doubao,(unmapped),token,CNY,0,0,,,"{modality: embedding, unit: per_image, note: NEEDS_REVIEW}",manual-estimate,2026-06-12
62,,doubao-pro-128k,hzx-normal,volcano-normal,doubao,(unmapped),token,CNY,3.20,16.00,,,{},doubao-pricing,2026-06-12
63,,doubao-pro-32k,hzx-normal,volcano-normal,doubao,(unmapped),token,CNY,0.80,2.00,,,{},doubao-pricing,2026-06-12
64,,ep-20241227,hzx-normal,volcano-normal,doubao,(unmapped),token,CNY,0,0,,,"{custom_endpoint: true, note: NEEDS_REVIEW}",manual-estimate,2026-06-12
42,,doubao-embedding-vision,demo-tokenplan,volcano-tokenplan,doubao,(unmapped),token_plan,CNY,0,0,,,"{modality: embedding, unit: per_image, note: NEEDS_REVIEW}",manual-estimate,2026-06-12
43,,doubao-lite-128k,demo-tokenplan,volcano-tokenplan,doubao,(unmapped),token_plan,CNY,0.30,0.60,,,{},doubao-pricing,2026-06-12
57,,doubao-lite-32k,demo-tokenplan,volcano-tokenplan,doubao,(unmapped),token_plan,CNY,0.30,0.60,,,{},doubao-pricing,2026-06-12
58,,doubao-pro-128k,demo-tokenplan,volcano-tokenplan,doubao,(unmapped),token_plan,CNY,3.20,16.00,,,{},doubao-pricing,2026-06-12
44,,doubao-pro-32k,demo-tokenplan,volcano-tokenplan,doubao,(unmapped),token_plan,CNY,0.80,2.00,,,{},doubao-pricing,2026-06-12
65,,claude-3-5-sonnet-20241022,vapeur-main,vapeur,anthropic-claude,(unmapped),token,USD,3.00,15.00,,,{},anthropic-pricing,2026-06-12
66,,gpt-4-turbo,vapeur-main,vapeur,gpt,(unmapped),token,USD,10.00,30.00,,,{},openai-pricing,2026-06-12
67,,gpt-4o,vapeur-main,vapeur,gpt,(unmapped),token,USD,2.50,10.00,,,{},openai-pricing,2026-06-12
68,,gpt-4o-mini,vapeur-main,vapeur,gpt,(unmapped),token,USD,0.15,0.60,,,{},openai-pricing,2026-06-12
69,,MiniMax-M2.5,scnet-acrbo3aajx,scnet,minimax,(unmapped),token,USD,0.30,1.20,,,{},minimax-paygo,2026-06-12
70,,Qwen3-235B-A22B,scnet-acrbo3aajx,scnet,qwen,(unmapped),token,CNY,0.40,1.20,,,{},openrouter-qwen,2026-06-12
38,,claude-3-5-haiku-20241022,evol-openclaw-proxy,evol,anthropic-claude,(unmapped),token,USD,0.80,4.00,,,{},anthropic-pricing,2026-06-12
39,,claude-3-5-sonnet-20241022,evol-openclaw-proxy,evol,anthropic-claude,(unmapped),token,USD,3.00,15.00,,,{},anthropic-pricing,2026-06-12
40,,gpt-4o,evol-openclaw-proxy,evol,gpt,(unmapped),token,USD,2.50,10.00,,,{},openai-pricing,2026-06-12
56,,gpt-4o-mini,evol-openclaw-proxy,evol,gpt,(unmapped),token,USD,0.15,0.60,,,{},openai-pricing,2026-06-12
