mistralai/devstral-2512|0.40|2.00|code agent,provider=mistral,scope=model
mistralai/mistral-large-3|0.50|1.50|provider=mistral,scope=model
mistralai/codestral-22b|0.30|0.90|code,provider=mistral,scope=model
mistralai/mistral-nemotron|TBD|TBD|provider=mistral,scope=model
meta-llama/llama-3.1-70b-instruct|0.59|0.79|provider=meta,scope=model
meta-llama/llama-3.1-8b-instruct|0.05|0.08|provider=meta,scope=model
meta-llama/llama-3.3-70b-instruct|0.59|0.79|provider=meta,scope=model
meta-llama/llama-4-maverick-17b-128e|0.27|0.85|provider=meta,scope=model
doubao/doubao-1-5-pro-32k-250115|0.80|2.00|CNY,provider=doubao,scope=model
doubao/doubao-1-5-lite-32k-250115|0.30|0.60|CNY,provider=doubao,scope=model
doubao/doubao-pro-128k|3.20|16.00|CNY,2025 pricing,provider=doubao,scope=model
doubao/doubao-pro-32k|0.80|2.00|CNY,2025 pricing,provider=doubao,scope=model
doubao/doubao-lite-128k|0.30|0.60|CNY,provider=doubao,scope=model
doubao/doubao-lite-32k|0.30|0.60|CNY,provider=doubao,scope=model
doubao/doubao-embedding-vision|TBD|TBD|embedding,provider=doubao,scope=model
qwen/qwen3-235B-A22B|0.40|1.20|CNY,provider=qwen,scope=model
qwen/qwen3.7-plus|0.32|1.28|provider=qwen,scope=model
qwen/qwen3.7-max|1.25|3.75|provider=qwen,scope=model
qwen/qwen3.6-flash|0.19|1.13|provider=qwen,scope=model
qwen/qwen3.5-plus|0.30|1.80|provider=qwen,scope=model
qwen/qwen3-coder-next|0.11|0.80|code,provider=qwen,scope=model
nvidia/meta/llama-3.1-405b-instruct|2.00|2.00|free via build,provider=nvidia,scope=model
nvidia/meta/llama-3.1-nemotron-70b-instruct|0.40|0.40|free via build,provider=nvidia,scope=model
nvidia/nvidia/nemotron-4-340b-instruct|4.20|4.20|free via build,provider=nvidia,scope=model
